timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1535747313424,4745,HTTP Request,200,OK,Thread Group 1-172,text,true,,1048401,130,636,636,4743,0,0
1535747313433,4773,HTTP Request,200,OK,Thread Group 1-173,text,true,,1048401,130,639,639,4772,0,0
1535747313464,4751,HTTP Request,200,OK,Thread Group 1-44,text,true,,343,133,640,640,4751,0,0
1535747313442,4803,HTTP Request,200,OK,Thread Group 1-174,text,true,,1048606,130,643,643,4802,0,1
1535747313452,4821,HTTP Request,200,OK,Thread Group 1-175,text,true,,1048606,130,646,646,4820,0,1
1535747313462,4843,HTTP Request,200,OK,Thread Group 1-176,text,true,,1048606,130,649,649,4842,0,0
1535747313493,4816,HTTP Request,200,OK,Thread Group 1-45,text,true,,343,133,650,650,4816,0,0
1535747313472,4870,HTTP Request,200,OK,Thread Group 1-177,text,true,,1048812,130,653,653,4869,0,1
1535747313482,4892,HTTP Request,200,OK,Thread Group 1-178,text,true,,1048812,130,656,656,4891,0,1
1535747313492,4913,HTTP Request,200,OK,Thread Group 1-179,text,true,,1048812,130,659,659,4912,0,1
1535747313497,4948,HTTP Request,200,OK,Thread Group 1-9,text,true,,1048812,130,663,663,4947,0,0
1535747313499,4986,HTTP Request,200,OK,Thread Group 1-10,text,true,,1048812,130,667,667,4984,0,0
1535747313500,5018,HTTP Request,200,OK,Thread Group 1-11,text,true,,1048812,130,670,670,5016,0,0
1535747313506,5041,HTTP Request,200,OK,Thread Group 1-180,text,true,,1048812,130,673,673,5040,0,0
1535747313513,5066,HTTP Request,200,OK,Thread Group 1-181,text,true,,1048812,130,676,676,5065,0,1
1535747313523,5087,HTTP Request,200,OK,Thread Group 1-182,text,true,,1048812,130,679,679,5086,0,1
1535747313534,5280,HTTP Request,200,OK,Thread Group 1-183,text,true,,1048812,130,684,684,5111,0,0
1535747313606,5208,HTTP Request,200,OK,Thread Group 1-48,text,true,,343,133,685,685,5208,0,0
1535747313638,5176,HTTP Request,200,OK,Thread Group 1-49,text,true,,343,133,685,685,5176,0,0
1535747313572,5242,HTTP Request,200,OK,Thread Group 1-47,text,true,,343,133,685,685,5242,0,0
1535747313553,5265,HTTP Request,200,OK,Thread Group 1-185,text,true,,1049017,130,690,690,5264,0,1
1535747313563,5255,HTTP Request,200,OK,Thread Group 1-186,text,true,,1049017,130,691,691,5253,0,1
1535747313544,5276,HTTP Request,200,OK,Thread Group 1-184,text,true,,1049017,130,695,695,5275,0,0
1535747313540,5281,HTTP Request,200,OK,Thread Group 1-46,text,true,,343,133,696,696,5281,0,0
1535747313573,5251,HTTP Request,200,OK,Thread Group 1-187,text,true,,1049634,130,698,698,5250,0,1
1535747313583,5281,HTTP Request,200,OK,Thread Group 1-188,text,true,,1049634,130,702,702,5280,0,1
1535747313593,5309,HTTP Request,200,OK,Thread Group 1-189,text,true,,1049634,130,705,705,5308,0,1
1535747313604,5328,HTTP Request,200,OK,Thread Group 1-190,text,true,,1049634,130,708,708,5327,0,0
1535747313614,5354,HTTP Request,200,OK,Thread Group 1-191,text,true,,1049634,130,711,711,5353,0,0
1535747313624,5372,HTTP Request,200,OK,Thread Group 1-192,text,true,,1049634,130,713,713,5371,0,0
1535747313634,5395,HTTP Request,200,OK,Thread Group 1-193,text,true,,1049634,130,717,717,5395,0,1
1535747313644,5428,HTTP Request,200,OK,Thread Group 1-194,text,true,,1049634,130,721,721,5428,0,0
1535747313654,5453,HTTP Request,200,OK,Thread Group 1-195,text,true,,1049634,130,724,724,5453,0,0
1535747313664,5479,HTTP Request,200,OK,Thread Group 1-196,text,true,,1049634,130,728,728,5479,0,1
1535747313674,5473,HTTP Request,200,OK,Thread Group 1-50,text,true,,343,133,728,728,5473,0,0
1535747313702,5447,HTTP Request,200,OK,Thread Group 1-51,text,true,,343,133,728,728,5447,0,0
